Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1120.9266252514735	-0.2773650027811527	-0.2888427563011646	-0.41041882655450274	0.2317733648750517	-0.3708535256710919	2.4186652577840366	-6.216915817623637E-9	-8.70475190640021E-9	-7.301460245726164E-8	8.847370887685613E-8	-6.761192160412459E-8	7.447334611550028E-7
1121.860421093884	-0.26122877808908623	-0.33985921144485476	-0.37439386014427456	0.014011644654803805	-0.19527303156527606	2.419437340245797	1.0088683452747415E-8	-1.3128487903545745E-8	3.5275530260020765E-8	-2.1654418290776006E-8	-6.3232359089992855E-9	6.654153132937192E-7
1122.7942952783735	-0.26198497228324413	-0.44974760711193085	-0.32147894906146185	0.09575835284259585	-0.33775555952028796	2.3465464424628477	-2.2438113219931752E-8	-2.5313809836745738E-8	-1.0406763276289959E-7	7.879872464258632E-8	-1.0652499159768199E-7	8.296334674919237E-7
1123.728139660656	-0.32376300419370335	-0.38040157929062846	-0.3890168336885316	0.04712001317077213	-0.2273118577220223	2.4026897131250453	-1.4914782911587977E-9	-4.367000995214132E-8	-1.7103501294957993E-7	6.680253237083549E-8	-5.269317725373429E-8	7.647864116724169E-7
1124.661943810643	-0.2766291008641322	-0.44600992649793625	-0.3890168336885316	0.10394434299733904	-0.36083598367192526	2.4154066380399923	-2.2774732484078745E-8	7.180137859871382E-10	-1.7103501294957993E-7	-6.3501428273701754E-9	-3.913894958574183E-8	7.774512080388507E-7
1125.5956694857487	-0.3015471485753854	-0.46321676969528197	-0.5140907349331039	0.032903911338912115	-0.3301348930055445	2.360419314641219	9.006466541528271E-11	-1.4735214066361737E-8	-5.278586150485028E-8	3.393289346926599E-8	-6.50646615066113E-8	8.01608925018042E-7
1126.529472310723	-0.3406552840024233	-0.41562735959887503	-0.3895220139196941	0.014999854895803664	-0.3786009218205105	2.440388497251731	2.9439632248082258E-8	-1.3236825780247154E-8	-3.4376765760253084E-8	-1.6381903550688796E-8	-5.713886597295001E-8	6.629897320662023E-7
1127.4632962098722	-0.4437954506526391	-0.43974004313349724	-0.5360261425375938	0.09056558459997177	-0.45585793324492196	2.472148863741985	-7.004235696728969E-9	-3.5314479484400366E-8	-9.088920978565904E-8	7.211717560580205E-8	-5.2102306033848704E-8	7.980495034928863E-7
1128.39712398714	-0.44428243425985176	-0.45617653280496595	-0.5014964661427906	0.004372177852524651	-0.31114092807878146	2.399658522926844	8.57153612454295E-9	1.430843127921827E-8	-8.593595190146833E-8	-1.1169170427148306E-8	-5.14725440215754E-8	7.512049723112799E-7
1129.330956254305	-0.41936191357672215	-0.4429547145962715	-0.5626243938292775	-0.007835786375734542	-0.3490097007968209	2.634777600948627	1.391808300012752E-10	5.331174705386571E-9	-1.322536323312203E-8	1.8303819579492384E-8	2.9110907646655586E-8	5.961779804214494E-7
1130.2647423153537	-0.41119186642269295	-0.49571767523884774	-0.5834019290549415	-0.19072218736012778	-0.19438381764021787	2.0453842712136416	-9.420789292495079E-9	7.552917132328495E-11	-5.153412759201258E-8	3.514103290819346E-8	-5.7603899281983987E-8	8.243875391080271E-7
1131.1985476321581	-0.4430970934530099	-0.5216473288834095	-0.4491442080054964	-0.14376762095424864	-0.5759380304000594	2.3838907594864187	1.2484178096269826E-8	-7.153791870136931E-10	-2.7783577134538485E-8	-2.8073168846666887E-9	-1.1534019746868747E-7	6.958352931545151E-7
