Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
365.11202313052996	4770.687166919932	6.213913082258921E-6	637.3510217883935	-4.326317063877105E-6	248.42868959456683	-6.5312456129353405E-6	139.94621198517936	-5.7708990227605815E-6	95.7462084069848	-4.848401445453179E-6	75.41511472314596	-4.1484781697942756E-6	62.075788210217766	-4.0948664011675846E-6
366.046220722431	4770.276951494627	6.291080098397273E-6	638.0371770020574	-4.0759071210199325E-6	248.0395482033491	-6.53028809520891E-6	139.71459742529052	-5.939486292202658E-6	95.38711513164971	-4.514421164629015E-6	74.78342415460132	-4.635351451637282E-6	62.12644957292538	-4.134760349557321E-6
366.9803529376928	4769.889166052453	6.280503391771573E-6	637.3683060389012	-4.084655021954818E-6	248.77981446906924	-6.303434748508309E-6	139.15357161739044	-5.640821057015163E-6	94.77646787133482	-4.851349829872466E-6	74.74385303394361	-4.037466137014461E-6	61.00347551302268	-3.98541059640335E-6
367.91453731214506	4769.748031410389	6.360212042955202E-6	638.0414360960325	-3.967998029163339E-6	248.19525275304915	-6.605410973805655E-6	138.32627081764596	-5.532197028618546E-6	95.37665890074439	-5.026171824603525E-6	73.47816838662733	-4.108983149618244E-6	60.242003920559696	-4.4273013841514985E-6
368.84865717207884	4770.463820151053	6.544440720510742E-6	636.9289758615196	-4.231868528623689E-6	248.06860023736954	-6.617465816092453E-6	139.3626437048827	-5.888608012339906E-6	95.12264223893483	-5.141883130410459E-6	75.1142743785273	-4.564018214919054E-6	60.88511059949031	-4.603662492726418E-6
369.7828392130087	4769.987973509356	6.775862618103618E-6	637.5860223689427	-4.095745809583112E-6	248.276134993881	-6.235342981517777E-6	139.13170684554748	-5.8596065525758924E-6	95.07904203070535	-4.744736471264189E-6	75.21609224853191	-4.604759557621794E-6	61.40993313262096	-4.081574987671439E-6
370.7169933966345	4769.883652301505	6.365700532469636E-6	637.0549173150212	-4.113614903839279E-6	247.76293180584906	-6.671386387265097E-6	139.05199281019824	-5.746204483001734E-6	95.13465564946334	-4.929253319925915E-6	73.17790714109486	-4.088873390982738E-6	60.983972383233215	-3.5131388823177607E-6
371.6511210884996	4770.000673703849	6.52596118780026E-6	637.1813760617127	-3.922198059259728E-6	247.81705743819475	-6.577697605731849E-6	138.89916371660573	-5.48473825594622E-6	95.48909596519337	-4.9566426810559815E-6	74.16923867436972	-4.441118900134347E-6	61.1040838108613	-4.337468933324513E-6
372.58525198184975	4769.829924611375	6.4021963781804516E-6	636.9675808244696	-3.9604235821528696E-6	246.90305275321006	-6.619558778257198E-6	138.89025116711855	-5.840911335097852E-6	95.1880946242147	-5.005309089521878E-6	75.13354712656952	-4.34246372638957E-6	60.74554577871011	-3.4021555313143144E-6
373.5193975511744	4768.915639493614	6.541914230000559E-6	638.0168293844908	-3.8010163924804175E-6	247.62927007377147	-6.776075738737091E-6	140.2369365106736	-6.043237004889492E-6	98.28824530127976	-4.948482756992917E-6	72.14720355990258	-4.288959475381426E-6	63.51234225355662	-3.0949928876162895E-6
